match_id,Winner,Blue Picks,Red Picks
171,Red,"Aatrox,Maokai,Azir,Xayah,Braum","Renekton,Rell,Tristana,Kai'Sa,Leona"
172,Red,"Jax,Nocturne,Azir,Ezreal,Rell","Aatrox,Maokai,Tristana,Kai'Sa,Alistar"
173,Blue,"K'Sante,Sejuani,Yone,Kai'Sa,Rell","Renekton,Poppy,Azir,Aphelios,Nautilus"
174,Red,"Jax,Vi,Taliyah,Xayah,Rell","K'Sante,Sejuani,Azir,Aphelios,Rakan"
175,Red,"Renekton,Maokai,Jayce,Ziggs,Rell","Jax,Sejuani,Azir,Aphelios,Rakan"
176,Red,"Renekton,Sejuani,Neeko,Aphelios,Alistar","Gnar,Rell,Azir,Xayah,Nautilus"
177,Blue,"Jax,Sejuani,Yone,Xayah,Rakan","Gragas,Poppy,Azir,Aphelios,Rell"
178,Blue,"Renekton,Viego,Neeko,Aphelios,Alistar","K'Sante,Rell,Jayce,Xayah,Rakan"
179,Red,"K'Sante,Maokai,Jayce,Kai'Sa,Rakan","Jax,Sejuani,Azir,Zeri,Rell"
180,Red,"K'Sante,Vi,Ahri,Kai'Sa,Rell","Jax,Sejuani,Lissandra,Zeri,Alistar"
181,Blue,"Gragas,Rell,Tristana,Kai'Sa,Nautilus","Jax,Sejuani,Azir,Sivir,Alistar"
182,Blue,"K'Sante,Rell,LeBlanc,Jinx,Alistar","Jax,Sejuani,Azir,Aphelios,Braum"
183,Blue,"Jax,Zac,Jayce,Kai'Sa,Rell","Rumble,Sejuani,Tristana,Zeri,Rakan"
184,Red,"K'Sante,Sejuani,Tristana,Kai'Sa,Alistar","Renekton,Rell,Ahri,Aphelios,Rakan"
185,Red,"Gnar,Nocturne,Ahri,Zeri,Alistar","K'Sante,Maokai,Tristana,Kai'Sa,Rell"
186,Blue,"Renekton,Maokai,Ahri,Aphelios,Lulu","K'Sante,Sejuani,Tristana,Kai'Sa,Rakan"
187,Red,"Rumble,Rell,Tristana,Xayah,Nautilus","Jax,Maokai,Ahri,Kai'Sa,Alistar"
188,Red,"Rumble,Rell,Tristana,Xayah,Nautilus","K'Sante,Maokai,Azir,Kai'Sa,Alistar"
189,Blue,"K'Sante,Poppy,Azir,Kai'Sa,Nautilus","Gwen,Viego,Syndra,Tristana,Rell"
190,Blue,"Gnar,Vi,Neeko,Kai'Sa,Leona","Renekton,Maokai,Jayce,Xayah,Renata Glasc"
191,Red,"K'Sante,Vi,Azir,Xayah,Leona","Renekton,Nocturne,Neeko,Ezreal,Rakan"
192,Blue,"K'Sante,Nocturne,Xerath,Kai'Sa,Rakan","Renekton,Poppy,Azir,Xayah,Alistar"
193,Blue,"Malphite,Vi,Ahri,Aphelios,Rell","K'Sante,Kindred,Swain,Zeri,Rakan"
194,Red,"K'Sante,Lee Sin,Azir,Xayah,Rell","Gnar,Vi,Xerath,Zeri,Rakan"
195,Blue,"Renekton,Maokai,Jayce,Sivir,Rell","K'Sante,Vi,Azir,Zeri,Rakan"
196,Red,"Rumble,Sejuani,Yone,Draven,Renata Glasc","Jax,Rell,Neeko,Zeri,Alistar"
197,Red,"Aatrox,Maokai,Ahri,Zeri,Alistar","Jax,Sejuani,Taliyah,Kai'Sa,Rell"
198,Blue,"Jax,Ivern,Jayce,Kai'Sa,Alistar","Renekton,Rell,Annie,Xayah,Rakan"
